46GP8	a person cooks food on a stove before looking out of a window 
CYLQ0	a person walks into the kitchen and opens the cabinet ; they remove some spices 
AEZDA	a person eats out of a bag then sets it on the desk and turns on a vacuum 
AEZDA	a person is eating some food from a bag ; then they start using a vacuum to clean up 
2BUDH	a person walks in the room carrying some dishes ; they place the dishes on a table and sit down in the chair ; then they pick up a glass pour water in it and take a drink 
2BUDH	a person is walking into the living room with something in her hand ; they sit down and take a drink of water from a glass 
2ZFG4	a person is walking to a door and washing the window in the door with a towel 
2ZFG4	a person is standing up and cleaning small window on a door 
W2TL1	a person sitting on a table throws things at a television 
G7LU9	a person is in a hall way ; that same person goes and opens the door looks out and then closes it 
WEYV3	a person is sitting at a table playing on a laptop and eating a snack ; then he picks up a phone and talks on it 
WEYV3	a person is eating while playing on their laptop and talking on their phone 
BIK4X	a person is sitting in a chair eating a sandwich they pick up a drink 
BIK4X	a person is sitting on a chair and eating 
KZK6W	a person stands at a stove cooking some food ; they grab a bottle of oil pour some into a pot and then put it back down ; they take a glass of water from the counter and drink it 
A4SR3	a person is eating with a bowl and spoon sitting in a chair ; the person enjoys this food and smiles ; the person then puts away the bowl and spoon 
A4SR3	a person is eating some food from a bowl while sitting ; the person puts the food aside and smiles 
CD11G	a person is cooking on the stove ; they then open the refrigerator and take a bite of food 
CD11G	a person turns a knob and stirs a pot on a stove ; the person then opens the refrigerator door and takes food out ; the person takes a bite of the food and closes the refrigerator 
OVH9Y	a person is climbing into bed and holding a phone ; the person then tosses the phone aside gets out of bed and starts vacuuming 
OVH9Y	a person is laying down on a bet holding a remove and watching television they then get up and begin vacuuming the floor 
3W5GB	a person looks through clothing on a shelf ; they pick up a small towel examine it then throw it off to the side 
EASCD	a person is sitting on the bed brushing his hair with his hands ; he pours a glass of soda and then takes a drink and sets the glass back down ; he rearranges some dishes on the table and then grabs them gets up and takes them to the sink 
O1LOW	a person is picking books and other things off floor and another person also does the same ; they then put objects on a table in an entryway 
3BVG1	a woman is holding the broom and swings it in the air and starts to broom the walls and air while a man sits on a couch 
P5SWU	two people are sitting on a couch ; one holds a pillow and one walks over to work on the television 
P5SWU	person while sitting down picks up a pillow and cuddles it ; person fixes television 
7B1CR	a person holding a glass and a phone sneezes twice on the phone 
WJFGC	a person walks down stairs carrying a box then they open the box sit down remove a laptop and begin to play on it 
ON2VH	a person is stirring a pot on the stove then they walk over to the counter and pick up a book and walk out 
FN457	a person is looking at themselves in the mirror and then looks at a picture 
WOD0G	a person is walking in the hallway holding a book and with a towel in thier shoulder they then throw they towel on a table 
J4GX8	a person is standing in the laundry room ; they sneeze then appear to take some medicine by swallowing it 
YJ2CM	a person is holding a pillow and opening a dishwasher 
3SIOT	a person is playing with a grocery bag ; a second person is holding a blanket and laughing 
WXUZK	a person is in their bedroom and undresses before getting in bed to go to sleep 
GXIWH	a person looks at a bag on a chair then grabs a drink off a table 
GXIWH	a person looks at a bag on a chair pours coffee into a cup and drinks it 
H40VV	a woman walks to the door slowly opens it and a man walks out holding two teapots on trays ; the women then closes the door and then opens the door and exits out and reunites with the manac 
V7KBN	a person in dining room takes a glass off the shelf puts it on table and pours juice in it ; the person then picks up glass and leaves 
7W1ZI	two people sit on the floor playing a game of cards ; one person puts the cards in a box stands and puts them on a shelf 
29T54	a person sits in a chair then takes off some clothes and puts in a closet where he removes other clothes 
29T54	a person is sitting in a chair ; they stand up start undressing and open the closet door ; the person takes some clothes from the closet and places them on a chair 
A9BDS	a man is by a sink and takes a bag of groceries and sets them on a table ; then he pours himself some juice and drinks it 
PTA97	an individual is combing their hair in the closet ; they then put bottles of stuff on the shelf 
MUAR4	a person sitting in a chair at a desk is working on their laptop ; they get up and walk away 
VSWNF	a person is sitting on a staircase with a blanket ; they rummage through several stacks of paper and stack everything in one pile 
9FBAP	a person walks into the kitchen passed the dog and goes to the refrigerator and takes a bag out and puts it on the counter 
U6KQ7	people sitting at the table eating food one person leaves the room another person follow and close the door 
U6KQ7	three people are in a kitchen ; one is walking the other is sitting and the last on is eating chips ; one of them walks through a door and the other one closes the door 
F76GD	a person enters the bathroom sits on the toilet and removes their shoes ; they then drink water from a glass on the counter and follow up by washing their hands in the sink then drying their hands on a towel 
F76GD	a person walks into the bathroom and sits down to remove their shoes ; they stand up drink a glass of water and wash their hands 
WT9CR	one person is fixing a door while another person is taking pictures with a phone 
WT9CR	one person swinging a door open and close and another person taking a picture of it on a camara 
T03KF	a person is looking into a mirror the person then takes clothes out of a cabinet and throws them on the ground before eating some food 
T03KF	a person looks in the mirror then grabs clothes from a closet and throws them on the floor then eats food 
FCBEQ	the person pours some crackers into a cup as they use a laptop computer in the kitchen 
FCBEQ	a person pours some food into a glass then begins watching a video on their laptop 
IA5TC	a person enters their house holding boxes and stuffs them on a shelf 
YXPTI	a person puts some shoes and a pillow in the washing machine closes the lid and turns it on ; another person stands in the doorway playing with a phone who then walks away 
FBIVN	a person is closing a door ; a person holds a pillow 
FBIVN	person in doorway looking at pillow ; then closes door grabs pillow then looks at floor then hold pillow with two hands 
1RHDP	a person is vacuuming their room ; they pick up a pillow from the floor and hug it 
J6L8A	the person walks up to the shelf while holding a broom and rearranges them on the counter ; the person then picks up a glass of water and pours the water into a pot on the stove ; the person then picks up a bowl and sets it back on the counter 
J6L8A	a person is standing by a sink holding a broom ; they grab some stuff from the windowsill and put them on the counter ; then they grab a glass and pour something into a pot 
D19IR	a person is sitting on a balcony ; they then stand up with a bag of groceries ; nest they go inside and begin sweeping the inside of the living room 
4SN6Z	a person is sitting on a chair ; they stand and put dishes on shelves in cabinets ; they then go to the stove and close the door 
M1P59	a person looks at their phone while eating food out of the pantry then grabs a bag and shoes 
M1P59	a person is looking at their phone ; they take some cereal out of a box thats on a cabinet shelf and eat it ; then they get a bag out of the cabinet ; they bend down and pick up a pair of shoes off of the floor and walk out of the room 
M1B7N	person cooking at stove goes to a cabinet to get a plate and then goes back to the stove and has a drink 
ZL7E9	a person laughs as they cook some food on the stove ; another person stands nearby with a bottle of medicine ; they open the bottle and drink some of the medicine 
ZL7E9	one person opens and takes some medicine while another who is cooking on a stove watches and smiles 
88LYX	there is a person cooking on a stove ; that same person goes to the sink and does something 
88LYX	a person is cooking on the stove and turns to the sink to do dishes then goes back to the stove 
S2RIQ	a person puts some food in a pot on the stove and cooks it 
IVJWH	a person walks into the room throwing clothes on a sofa and then they begin to sneeze uncontrollably 
X1RBM	girl sits on toilet and looks through box then gets up ant eats something over the sink 
X1RBM	person sits and grabs a mirror then sneezes and eats food off a sink 
48CYX	a person is taking off a shirt ; a person then cleans themselves with a towel 
48CYX	a person in the bathroom taking off jacket and freshening up with bath cloth 
SPKSE	a person holds a towel as they talk on the phone ; they throw the towel to the floor and walk away 
UGMJZ	a person sits on a washing machine and ready while another person does laundry 
N7AOK	a person is walking into the room and picks up a pillow after tossing aside a blanket ; afterwards they walk out of the room hugging the pillow 
M5C5L	a person is smiling next to a refrigerator then cooking something on the stove 
07E49	a person is sitting and watching tv 
07E49	a person is sitting in a chair while watching television 
5IOQB	a person sitting in a chair laughs at something on their laptop ; they drink a glass of water 
5IOQB	a person is sitting in a chair watching a laptop and laughing they take a drink of water 
1DYYP	a person is holding a broom in a kitchen ; the person walks over to a mirror and adjusts their hair ; the person sweeps the floor 
5QJNP	person walks into a room go over to the cabinet takes a book out the cabinet look for something else in the cabinet then began to drink from a glass 
X42YA	a person walks out a door then runs back in and sits in a chair and puts shoes on 
X42YA	the person goes out a door and comes back in the door ; the person then grabs a chair sits down and puts on their shoes 
A5YR8	person grabs dishes from a cabinet 
NM65M	a person walks through a hallway picks up a pillow snuggles it and puts it back down on a stand 
XPY4P	a person is holding a sandwich and eating it while grasping a doorknob 
XPY4P	this person puts their hand on the door knob takes a bite of food and then lets go of the door handle 
XPY4P	the person is standing at the door eating a sandwich with their hand on the doorknob while looking at the door 
HKM3R	two people are playing checkers on their laptop while they eat chips 
RXLKF	person walks to couch wearing blanket grabs book place on lap straighten blanket opens book reads it closes book place on couch gets up grabs tissue clean face place tissue back 
RXLKF	the girl is walking to the couch with a blanket around her ; she sits down picks up a book and begins reading ; then she puts down the book and stands takes a drink puts it down and walks back to the camera 
KWONB	a person is throwing clothes into a closet and then rearranging them ; the person finds a bag of salad mix in the closet 
KWONB	a person opens the closet door and picks up a jacket and throws it ; then they look around and get a bag of snacks and hold it 
1RB92	a person is sitting and using a laptop while eating chips ; another person walks over and starts cleaning the table with a mini vacuum 
1RB92	a person sits at a laptop eating some food out of a bag ; another person begins tidying the table with a vacuum then leaves 
YORQM	a person walks takes a stool walks into a bathroom stands on the stool and then does something in the window 
40TYU	a person is sitting at a table and pours food out of a box onto a plate and throws the box 
IJWV9	a person sitting on the floor at a desk drinks coffee from a glass while looking in a mirror 
IJWV9	a person is sitting on the floor drinking coffee at a desk while they look in the mirror and tidy their hair 
8APDH	a man is cooking over a stove ; then he drains water from a pot into the sink 
8APDH	a person holds a pot over a stove ; they pour water into the sink 
GT53K	a person is holding a bag of food then turns on the light as keeps eating 
19PNV	a person is standing by a doorway peeking in a room then they grab a pillow and blanket and snuggle while looking out a window 
MD6C0	a person walks through the door and grabs a cloth and begins to clean a cup 
MD6C0	a man opens a door and walks in ; he starts washing a cup 
QO1TO	walks into hall carrying a book ; messes with a laptop in the hallway ; opens books 
QO1TO	a person holding some homework walks into the entryway to a laptop on a table and starts working 
9QMRD	people standing by the sink someone throw clothes in room one began to sneeze at the sink 
9QMRD	sneezing in a mirror 
ZXHLY	a person carries a glass to a water bucket and washes it before putting it on the back of a toilet ; then they fill a bucket with water and throw it on a door 
ZXHLY	person walks in room with cup washes cup with water that is in the bucket shakes it out and place cup on sink ; then person begins splashing water on door 
NVGDG	young person sleeping on the couch and waking up and bunching up the blanket 
NVGDG	a person lying on a sofa and covered by a blanket awakens ; they fold the blanket and place it on a wardrobe and retrieve an item from a shelf 
MJPET	a person is sitting on the stairs picking up some books ; they keep the books in their hands as they clean a chair 
MJPET	the person piked up some debris on the stairs and then started to clean some other areas of the dwelling ; specifically the person cleaned a chair seat very thoroughly 
3ZHEX	a door opens and a person walks in holding a coffee mug and sandwich ; they eat a bite of their sandwich and a drink of coffee 
3ZHEX	a person opens a door walks through the doorway and closes the door while eating a sandwich and drinking some coffee 
NR94C	a person grabs a shirt off the bed and puts it on then grabs a bag and leaves the room after watching tv 
NR94C	a person takes a shirt from their bed and puts it on ; they then grab a backpack and put on one strap and take a couple steps to the doorwa to watch tv 
1U9TF	a person is holding a vacuum ; a person begins sneezing 
HS3XP	a person is standing and staring at a mirror then turns around and turns off the light 
370X8	the person talked on a handheld phone while typing on a laptop keyboard 
LOSLI	a person walks into a room and picks clothes up off the floor and place it on the table 
24XHS	a person is taking medicine while laughing in the kitchen before opening the fridge 
3P2U4	someone is sitting on a chair hugging a picture frame ; at the same time someone opens a door walks out and closes it 
3P2U4	a person holds a book in a chair ; another person reaches up and opens a door and walks outside 
73NG4	a person walks into the kitchen opens the fridge pours a glass of juice then sits at the table and drinks it 
409X2	a person folds a blanket over themselves and they sit in a chair ; after that they get up out of the chair 
5GEJS	a person gets up from laying down in bed and moves a pile of laundry ; then the person puts his shoes under a desk 
2XT4N	a person orders around some stuff on a shelf before leaving the scene 
NEM29	a person removed their jacket dropping it to the floor and then sat on their bed ; the person then watched tv while eating a snack from a bag 
JCGWC	a person is closing the refrigerator ; a person is cooking food on the stove 
JCGWC	a person stands at the refrigerator ; they close the refrigerator door then walks to the stove and starts cooking some food in a pot 
YT3VH	person sits on the floor working on their laptop before turning towards the door and attempting to reach for the door knob 
EDKXT	a person takes off a shirt and puts it into a bag and then picks up a pillow and takes a drink 
4JWAH	a young person walks into the room sits on the bed picks up a pillow and puts it on his lap and picks up the phone and looks at it 
4JWAH	the person is standing up and sits down on the bed ; the person picks up a pillow and holds it ; the person picks up a phone and texts ; the person puts the phone down 
4DWGO	a person enters a room throws their phone on a table and puts on their shoes 
KU3WI	a person enters the room holding a coffee cup and closes the door ; then they look in a mirror and fix their shirt 
KU3WI	a person opens the door and walks in to the garage ; the person is holding a coffee cup ; the person adjusts his clothing while looking in mirror 
YUEB9	a person is sitting in a chair and reading a book while eating a bag of chips 
YUEB9	there is a person sitting at a table reading a book and playing with a bag ; that same person sneezes a few times and then gets up and looks out the window 
S3TR3	a person sneezes while they sweep the garage door ; they then sit down and take their shoes off 
K71S1	a person is putting clothes on a box on the floor then gets up and stares at the box 
X8I9J	a laughing person comes in through the door and takes off a jackets and a pair of boots ; finally the person pulls up her sleeves 
X8I9J	a young person comes in the door and closes it takes off a jacket and boots 
NV1M1	a person runs through a room holding a laptop while another person is vacuuming 
OA9W5	the person is sitting in a closet eating a sandwich and reading a book 
G5LEA	the person folded a towel and opened the cabinet ; they placed the towel in the cabinet closed it and walked away 
A4K1X	a young person picks up several things up off the stairs and carries them up stairs 
A4K1X	a person picks up clothes and shoes and a picture from the stairs 
A4K1X	person walks in a door and picks up clothing while walking up the steps 
Y98NJ	a person looks at a camera takes a picture and then walks away 
Y98NJ	a person is standing and laughing at something on a phone 
VSO80	a person opens a refrigerator door and gets some food out ; the person begins eating and then sits down in a chair 
VSO80	a person opens the fridge takes out a plate and starts eating then sits down in a chair 
PRVHF	person walks over to the cabinet putting something in the cabinet then bend down to organize shoes 
9J074	a person sits on a dryer folding clothes ; they then drop them on a pillow on the floor 
HXCGX	person sitting on the bed eating pick up a box and open it put something in it and closes the box 
HXCGX	a person is sitting on the bed eating food ; they grab a box and tidy it up 
ORM2H	two people are sitting on the couch ; one of them is writing in a book doing homework 
LWJGN	a person is tidying up something on the cabinet ; the person then sneezes and picks up a glass of coffee from the cabinet and drinks it 
CIGGJ	person is picking up glass from a laundry room floor ; after picking up the large pieces of glass they use a broom to finish sweeping it up 
0WGTG	a person is looking through a bag and then sneezes and picks up the bag 
X29NF	a person is sneezing while looking in the mirror ; a person takes a bite of a sandwich then takes off an article of clothing 
X29NF	a person is sitting on a bed sneezing in front of a mirror 
IACBH	a person is standing in front of a desk watching a computer monitor ; the person throws a blanket on the bed and then lays down on the bed 
IACBH	a person looks at a tv screen ; the person throws a blanket onto a bed and lays on the bed while watching tv 
E23CT	person takes their broom and moves it into another room before walking towards the door 
AXFJP	person standing in laundry room putting things away and putting a load of laundry onto washer 
AXFJP	person walks in room open drawer place can inside closes drawer grabs clothes and puts in on top of washer 
HDX87	a person is looking out the window while another person is eating a sandwich 
V1SQH	a person is drinking a cup of coffee ; a person then walks out the doorway 
V1SQH	a girl drinks from a glass while looking in the mirror ; she does this twice and then leaves the bathroom 
48WOM	a person is going through a shelf in the bathroom ; the person takes some medicine out of the shelf and shakes it 
48WOM	a person walks into the bathroom and removes some medicine from the cabinet ; they throw the medicine and laugh 
48WOM	a girl walks into a bathroom opens a medicine cabinet and takes out a box ; she opens the box and takes something out and tosses it somewhere 
61N26	a person is taking a laptop and sitting on the toilet then they put a broom away and resume to working on their laptop 
IOBKP	person is sleeping in bed with a pillow ; he then sits up and drinks out of his cup that was placed on the floor near his bed 
TCV1W	a person grabs a pillow walks out of the room turns the light off in the other room and closes the door 
B8BSY	a person sitting next to a cup of coffee is texting on a smartphone while sneezing at the same time 
7KZ20	two people standing in a living room while one person holds a vacuum cleaner 
VIN8S	a person is throwing a blanket on the floor then with a camera they begin to take pictures of the blanket 
ESTDK	a person opens up the cabinet removes a box picks up a glass and fills the glass with the contents of the box ; the person puts the glass down opens the cabinet and puts the box away 
XUYCA	a person sitting in a chair with a bowl of food ; the person is eating the food ; the person puts the bowl on a table and walks to a shelf and starts going though the food 
XUYCA	a person sits in a chair eating then stands up and walks to a shelf to tidy up books 
25BZ1	a person is sitting in a chair putting their shoes on ; that same person picks up paper off a cabinet and leaves the room 
L5TI4	a person reaches into a red pot sitting on a glass table and pulls out some food ; the person puts the food by their mouth while writing in a book 
BXL9D	a person is cleaning a sink with cleaning products and a sponge ; the person then starts cleaning the doorknob with the sponge 
BXL9D	a person is cleaning a sink with cleanser and a towel ; the person puts the cleanser down and washes a doorknob 
VFTRG	a person is laying on stairs holding a pillow the person then sits up and takes off shoes 
6HR54	a younger person appears to be cleaning a table with a mitt on while an older person is sitting at the table and drinking out a glass 
KB0Y8	person picks up purse from counter opens it looks into it then throws it to the floor 
2C253	the person is sitting on the bed texting while doing so has a drink and to get more comfortable throws a blanket on the floor 
2C253	a person plays on their phone in a bed ; they drink something from a glass and put a blanket down 
JMA1R	a person walks into the kitchen picks up a towel and checks something in the stove then adjusts the dials on the stove an puts the towel on the counter 
COPHL	a young man woke up rubbed his face opened a book and started writing in it 
COPHL	a person is sitting at a table ; they open up a book on the table and start writing on it with a pencil 
Z5JZD	a person is putting some groceries in a bag away ; the person then closes the pantry door 
Z5JZD	a person takes a bag of groceries and takes the items out and puts them on a shelf ; that same person then closes the door to the cabinet and leaves 
AZZ3W	the person tidies up their clothes off the floor ; they get dressed sit in the chair and put on their shoes 
IPH08	person is holding shoes in hands then sets them down on floor and starts putting dishes in sink 
K7FNC	a person opens a door and walks out ; a person is sitting at their computer doing work 
L36YT	a person walks through their living room and picks up a broom and starts sweeping under a table ; another person walks in and sits on the sofa 
DLQIT	the person walked to the end of the hall and sat on a chair poured water into a glass took a drink and then briefly looked at a book before getting back up 
DLQIT	a person goes and sits on a chair and pours themselves a drink then does some work 
FBHBP	person walks in and sits on couch picks up food from table eats the food then leaves 
FBHBP	a person sits on the sofa and eats some food 
D2GQH	the person is sitting looking at something ; the person sneezes ; another person is sitting near them ; the person picks up a sandwich and takes a bite ; the person looks in the mirror 
UXW88	a person is lying on the bed looking at a phone ; a person gets up and fixes the curtain 
YL612	this person picks up clothes form a basket and throws them on to the floor 
EMMYX	a person is putting groceries into a pantry then shuts the pantry door and leans a broom against it and smiles 
5P0ON	a person is standing in the laundry room eating ; they grab a vacuum off the shelf and clean the floor before taking a blanket out of the dryer 
POU1Z	the person goes into the closet and looks through clothes before vacuuming the floor and grabbing a broom 
POU1Z	a person is tidying up their closet ; the person rearranges the clothes and starts to vacuum the floor in the closet ; the person picks up a broom turns off the light in the closet and walks out of the closet 
JOLLV	a person is sitting on the couch with a blanket trying to sleep while another person walks through with a bag of groceries and takes them to the fridge and puts them away 
XS6PF	a person opens a door walks in throws clothes down and closes the door ; the person sits down picks up a remote and turns on the tv 
E891N	a person is wrapped in a blanket ; a person then opens a wardrobe and looks for an article of clothing 
E891N	a person wraps himself in a blanket ; a person then stands up and opens a closet door 
JXF3M	person sleeping on chair then walks up to a mirror to clean up 
03OQS	a person picks up some food ; another person enters the room and hangs up some clothes 
G9IUG	a person is sitting in a chair with a blanket wrapped around their shoulders reading a book ; the person gets up suddenly and leaves the room 
FN71T	a person walks into a bathroom talking on a phone ; the person then begins pick things up off the floor and placing them into the sink ; the person then picks up some clothes off the floor and walks out of the bathroom 
FN71T	person walks into bathroom while talking on the phone ; person puts some stuff in the sink and then grabs clothes and walks out of bathroom while still talking on the phone 
OVEXF	a person is sitting on the floor on a towel while on their laptop 
0Y8H0	a person runs through a living room and into a kitchen picks up a coffee cup fills it with water from a faucet and takes a drink ; the person then pours out the rest of the water and walks away 
0Y8H0	a person runs into a kitchen to get a cup of water from the faucet only to pour most of the cup out 
V3RAX	a person is lying on a bed takes off clothes gets up tidys clothes eats something 
V3RAX	a person laying bed under a cover takes their shirt off ; the person removes the blanket and gets out of the bed ; the person walks to a table and straightens clothes than takes a bite of a sandwich 
0F1VF	the person walks to put a book on a shelf ; the person walks to pick up a piece of paper ; the person walks and then sits down and looks at piece of paper they are holding ; the person shows the piece of paper to the camera ; the person walks again 
X3LEM	a person is taking a picture from a chair then putting it next to a mirror and turning on a light ; person b begins to sit on a couch 
X3LEM	a person picks up a picture off a chair and puts it on a wall ; the person turns off the light ; another person takes a phone from a table and sits down on a sofa 
FM5D5	person comes into living room puts bag down sits down looks at bag again 
MN1MC	a person is standing looking at a laptop and sneezing ; they then pick up a sandwich from a dish and take a bite 
MN1MC	a person holds a laptop and sneezes into their arm ; the person then sneezes again and eats a sandwich 
KT3MJ	a person opens a refrigerator door and removes a pot then closes the door ; the person puts the pot on a stove and turns on the gas flame 
0MK2C	a person runs up the stairs carrying a pair of shoes and opens a door 
IIFVE	a person is throwing clothes on the floor then putting a towel around their neck and snuggling with it before walking up the stairs 
HWL2J	a person is sneezing while laughing on the phone ; another person enters the room 
HYEY7	a person turns on a vacuum cleaner runs it over the carpet a few times then turns it off grabs a mug from the table in the same room and drinks from it 
HYEY7	the person uses the vacuum to clean ; they turn off the vacuum and take a sip of coffee from a mug on the desk 
1PCR7	a person is sitting on a chair ; another person sits on a bed reading 
8LAK1	a person take food and a book off a box and opens it ; the person finds a pair of shoes in a box and takes them out 
B2NBR	a man is running through the hallway hits his body against the wall is in pain and falls to the floor and starts to flex his arms while on the floor 
NAWO1	a person is preparing some food on the stove ; the person is holding their phone and talking on it ; the person adjusts the heat level dial on the stove 
QQY8T	a person is opening a cupboard in the kitchen ; the person takes medicine out of the cabinet and goes into the next room ; a dog is also in the next room 
9XXJ7	a person enters a kitchen while talking on the phone and holding a glass 
9XXJ7	a person goes and closes a door and then picks up a phone off the counter ; the same person also starts drinking coffee out of a mug 
8RSZ4	a person looks out the window before taking her shoes off and her sweater 
WR2Q2	a person is eating a sandwich from a dish 
FN0F8	a person holding some plates arranges the plates on a dining table and then reads from a piece of paper before putting the piece of paper away 
HYR9Q	a person walks into a room and puts their laptop on a table ; they open the refrigerator and take out some food 
L62J5	this person enter the living room picks plate off of table and take a picture of it with their cellphone 
L62J5	a person walks in from a door into a living room then picks up a plate of food from a table and then takes a picture of the food using a camera phone 
74P3C	a person walks over to a sink and washes a small glass cup ; the person sets the cup on a counter and then picks up a coffee cup and takes a drink 
74P3C	there is a person doing something at a sink ; that same person then picks up a glass of coffee and starts drinking it 
RM5IC	a person stands at the stove tidying dishes ; they pick up a pillow from the floor and leave 
G5ZOK	a man is sitting on a bench ; he cleans in ear with a qtip ; the man blows his nose repeatedly 
T3L2A	a person takes a picture of themselves holding a plate of food in a hallway 
03AA8	one person is drinking and another person is sitting on sofa and taking dishes away 
NMGIV	a person is standing looking out a window when they sneeze then they walk up the stairs picking up a towel 
JUINA	a person climbs up on a chair and puts dishes on a shelf ; the person sneezes and smiles 
JUINA	a person places some food into a cabinet while laughing 
5O0YS	person standing holding pillow touches hair rest arm on door knob while touching face runs out room with pillow 
5O0YS	a person is standing in the middle of a room holding a pillow then runs out of the room through an entryway 
1B2P0	a person is walking in a bedroom with an armful of stuff ; the person walks into a wardrobe sets down some shoes folds a blanket then picks up a cup and takes a drink 
SILHS	a person is putting a blanket in a wardrobe then using a remote to turn on the television 
QHNTC	a person is playing a game on their laptop while sitting on the floor and then the person gets up and picks up the laptop and places it on a table and walks out of the room 
ZWY3E	a person is sitting on the edge of a bed putting on shoes once done the person goes out of the doorway 
ZWY3E	a person is putting on their shoes and tying them while sitting on their bed 
P3XT7	a person sitting at a table folds a towel on their lap then drinks some water ; they get up and throw the towel on the bed 
P3XT7	the person is sitting at a table folding a towel in their lap ; the person takes a drink from a water bottle before continuing to fold the towel ; the person then gets up and puts the towel on a bed 
KJWAH	a person walks into a closet and throws a sandwich in the trash ; that same person then leaves the room 
ECLIB	a person is sitting on the floor watching tv and then they take a glass off of a table and hold onto it 
ECLIB	a person is watching television while sitting down on the floor ; the person then grabbed a drink 
NY5R2	a person walks into a room carrying a chair and places the chair on the ground ; then the person proceeds to stand on top of the chair and pick up a book that is sitting on the mantle ; afterwards the person gets off the chair and walks out of the room 
40FKN	a person is drinking coffee from a mug ; they move a bag from their bed and then adjust the blankets on it 
40FKN	a person drinks a cup of coffee then tidies the bed and puts laptop in a bag 
ZJPK8	a person carrying some clothes opens a door picks up a blanket then puts them all on a bed 
YDSYL	person picks up broom sweeps and than sets broom down in order to tie shoes 
D7MHV	a person is cooking on the stove in the kitchen ; they then go to the cabinet to get something out 
D7MHV	a person is cooking on the stove ; a person then opens a cabinet and gets groceries 
1B2QD	a person is throwing away a piece of trash ; a person then starts to clean the door 
IWF0U	a person sits down at at table and pours a drink into a glass ; another person is folding a blanket 
IWF0U	a person walks through a doorway and sits on a chair ; the person picks up a bottle and pours a drink into a glass ; another person folds a blanket 
8DGUN	a person is in the kitchen using a laptop while cooking at the stove ; the person opens a container takes something out of it and compares it to the computer 
SP8UG	a person is standing in front of a sink and pours water into a glass and then takes medicine 
SP8UG	the person pours a glass of water then takes a vitamin and drinks the water 
5FYKE	a person puts something on a shelf ; they drink something out of a mug ; they walk away 
5FYKE	a person is carrying a cup and phone in their garage ; the person places their phone on the shelf in the garage ; the person walks out from the garage 
HDHWS	a person sits on some stairs with a camera and takes a picture of themselves they then smile and grab a book then begin tidying up the stairs 
HDHWS	this person takes a photo closes a few notebooks then sets them down 
K5CRM	one person is sitting in a room while another person is standing beside them and sweeping with a broom ; the first person then proceeds to lay down and place their head on a pillow 
H5TGJ	a person is sleeping in bed they wake up stand up go over to a bag and take out a jacket and put it on 
H5TGJ	a person laying on a bed awakens stands up and puts on some clothing they took out of a bag on the floor ; the person looks at themselves in a mirror 
1AR0K	a person walks into the bathroom holding a broom ; the person puts the broom down and begins to open a bottle ; the person struggles to open the bottle and gives up walking out of the room 
IS3OX	person holding a broom person sweeps entryway repeatedly person sets down broom person sits on the floor in the entryway person sneezes 
UNGPY	a person is drinking something ; the person then places a camera on top of the bathroom toilet ; the person then walks out the bathroom and closes the door 
ZHDUR	a person is buttoning up their shirt in the closet ; the person closes the closet and walks into the other room ; the person grabs their phone and plays with it 
ZHDUR	a person is standing while putting on a shirt ; after buttoning all the buttons the person closes the wardrobe picks up their phone and looks at it 
YYHX3	a person is putting a towel on a table then carrying a box and putting it on the table as well 
W86JJ	one person is putting something in a box and another is working on a laptop in a bathroom 
L11YV	a person standing next to a car shouts something then shakes a plastic bag and pillow then rifles through the bag for a moment before brushing something off the car 
IXVGR	a person is sitting at a table pouring something from a glass into a dish ; the person then takes a drink from a cup 
Q4932	the person throws a blanket on the bed ; the person then jumps on the bed begins eating some food and laughs 
Q4932	this person is in a bedroom throws blanket on bed jumps on bed picks up sandwich and starts eating laughing while rocking back and fourth 
VTY0J	a person grabs food from a fridge and sits in a chair with a phone 
5IDF4	a man runs into a room throws a book down onto the floor and then stands with his hand on the doorknob 
0BXRP	a person is taking groceries out of a bag and then they are starting the stove 
U2SJH	this person is laying flat on his stomach on a carpeted floor ; picks up laptop and walks over to the couch and starts eating chips while sitting on the couch being on the laptop 
R08G9	a person picks up some clothes while another person looks out a window 
FBL47	a person marks things down in the pantry and another hands that person a laptop 
OYG5H	a person picks up a magazine puts it away then throws things into another room 
E2Q68	a person standing unties a yellow grocery bag and takes out three items and places them on a table 
WTUGM	a person drops a box and picks up a blanket and puts it around their shoulders 
Q24GF	a person is sitting at a table in a chair looking at a phone while the other person is putting something into the refrigerator 
Q24GF	a person checks their phone while another opens the fridge 
FIBCE	a person is sweeping with a broom they then turn off the light and walk out of the room 
VL66E	a person is standing on some stairs holding a book they then start walking down the stairs and begin sneezing the person grabs a broom ad begins tidying the doorway 
FCQS8	a person walks through a doorway puts on a coat and grabs some medicine from a cabinet 
FCQS8	a person walks through the doorway of a bathroom and puts on a denim shirt ; the person then reaches on a shelf and looks at a bottle of prescription pills 
0VQQL	a person is laying down on the floor reading a book they then get up and open the door and stand on the doorway 
0VQQL	a person is laying on the floor reading a book then gets up and walks over to the door to look outside 
ZIP5P	one person is on their camera leaning up against a couch while another is laying on the floor with medicine bottles next to them 
ZIP5P	a person sits by the door playing on their phone as another person lays on the floor with food 
8ML3S	a person is jogging around a room then stops and rummages through a closet ; the person picks up and reaches into a plastic bag 
XW1LX	a person wakes up and turns on the lamp ; they pick up a box and look inside it 
